uid	rna_expt	rna_value	prot_expt	prot_value	predicted_prot_value
Q96JG6	nci60_Malme3M	7.0	nci60_Malme3M	1.163319017	4.960527547335409
Q96JG6	nci60_NCIH226	3.0	nci60_NCIH226	0.807947129	2.6630219075510264
Q96JG6	nci60_NCIH23	3.0	nci60_NCIH23	1.354604513	2.857687740922186
Q96JG6	nci60_NCIH322T	3.0	nci60_NCIH322T	0.788996934	2.792032644242492
Q96JG6	nci60_NCIH460	1.0	nci60_NCIH460	0.250588458	2.3692083664410943
Q96JG6	nci60_NCIH522	3.0	nci60_NCIH522	0.892442703	2.9828535667864875
Q96JG6	nci60_OVCAR3	2.0	nci60_OVCAR3	0.708291399	2.4348377438483704
Q96JG6	nci60_OVCAR4	4.0	nci60_OVCAR4	1.497065389	3.1218101718526894
Q96JG6	nci60_OVCAR8	2.0	nci60_OVCAR8	0.289380622	2.584361423754191
Q96JG6	nci60_PC3	4.0	nci60_PC3	2.853007563	3.125191118470834
Q96JG6	nci60_RPMI8226	4.0	nci60_RPMI8226	0.613986311	3.1127163361938637
Q96JG6	nci60_SF268	2.0	nci60_SF268	0.250142571	2.249643300375094
Q96JG6	nci60_SF295	4.0	nci60_SF295	2.023434918	3.1731981524692623
Q96JG6	nci60_SF539	1.0	nci60_SF539	0.133097251	2.365867166741208
Q96JG6	nci60_SKMEL28	3.0	nci60_SKMEL28	1.186282194	2.8543165120133893
Q96JG6	nci60_SKMEL5	4.0	nci60_SKMEL5	3.033368829	3.068385201435893
Q96JG6	nci60_SKOV3	1.0	nci60_SKOV3	0.492036234	2.8934470305485416
Q96JG6	nci60_SNB75	3.0	nci60_SNB75	1.813422171	2.6561709156744624
Q96JG6	nci60_SW620	3.0	nci60_SW620	0.035893898	2.8854392003676437
Q96JG6	nci60_T47D	3.0	nci60_T47D	0.64408368	2.657479570133228
Q96JG6	nci60_U251MG	4.0	nci60_U251MG	0.654784966	3.642736476704445
Q96JG6	nci60_UACC257	4.0	nci60_UACC257	2.395973453	3.382193133568884
Q96JG6	nci60_UACC62	2.0	nci60_UACC62	0.587233095	2.726425548636733
Q96JG6	nci60_UO31	4.0	nci60_UO31	3.198569939	3.4642884648534906
Q96JG6	nci60_X786O	4.0	nci60_X786O	0.28603647	3.3277760544035644
Q6FI81	nci60_A498	18.0	nci60_A498	3.948105879	7.18142031704353
Q6FI81	nci60_A549	29.0	nci60_A549	33.824983	6.629817765216683
Q6FI81	nci60_ACHN	33.0	nci60_ACHN	19.94496855	12.531157812997884
Q6FI81	nci60_BT549	20.0	nci60_BT549	9.671287651	8.360166416909289
Q6FI81	nci60_Caki1	27.0	nci60_Caki1	11.84164231	7.714009453498983
Q6FI81	nci60_DU145	34.0	nci60_DU145	13.09547638	14.619090402412455
