uid	rna_expt	rna_value	prot_expt	prot_value	predicted_prot_value
O60341	nci60_HL60	16.0	nci60_HL60	23.82886671	3.6357128868305653
O60341	nci60_HOP62	29.0	nci60_HOP62	6.860416404	4.899154307206835
O60341	nci60_HOP92	22.0	nci60_HOP92	8.404968752	4.289288545320274
O60341	nci60_HS578T	19.0	nci60_HS578T	8.819866546	3.971285531389487
O60341	nci60_HT29	32.0	nci60_HT29	10.49773909	4.706440147387808
O60341	nci60_IGROV1	37.0	nci60_IGROV1	2.769180819	5.130545176919557
O60341	nci60_K562	40.0	nci60_K562	14.49979729	5.252299279021775
O60341	nci60_KM12	19.0	nci60_KM12	20.06847924	3.969506794187624
O60341	nci60_LOXIMVI	25.0	nci60_LOXIMVI	4.529988331	4.660449701806023
O60341	nci60_MCF7	21.0	nci60_MCF7	30.54236337	4.2761721080378114
O60341	nci60_MDAMB231	24.0	nci60_MDAMB231	2.965816958	4.470025303139435
O60341	nci60_MDAMB435	10.0	nci60_MDAMB435	5.80723146	3.0419796943256845
O60341	nci60_Malme3M	17.0	nci60_Malme3M	10.29753585	3.7044730557062593
O60341	nci60_NCIH226	18.0	nci60_NCIH226	3.879662234	3.7952907573108723
O60341	nci60_NCIH23	30.0	nci60_NCIH23	1.953876555	4.7895338497025985
O60341	nci60_NCIH322T	18.0	nci60_NCIH322T	13.38864704	3.800740468138132
O60341	nci60_NCIH460	28.0	nci60_NCIH460	19.32005801	4.844539562738989
O60341	nci60_NCIH522	83.0	nci60_NCIH522	24.09082529	9.130317743227476
O60341	nci60_OVCAR3	24.0	nci60_OVCAR3	33.19449887	4.465307599401337
O60341	nci60_OVCAR4	20.0	nci60_OVCAR4	19.89993397	4.151986468617799
O60341	nci60_OVCAR8	33.0	nci60_OVCAR8	6.640371201	4.880177886142792
O60341	nci60_PC3	29.0	nci60_PC3	6.166616331	5.000690391935989
O60341	nci60_RPMI8226	24.0	nci60_RPMI8226	15.74025474	4.512678830281685
O60341	nci60_SF268	26.0	nci60_SF268	4.361888956	4.718102873811156
O60341	nci60_SF295	25.0	nci60_SF295	1.242686892	4.488561303041481
O60341	nci60_SF539	18.0	nci60_SF539	23.64070243	3.8259840573037183
O60341	nci60_SKMEL28	45.0	nci60_SKMEL28	5.705792182	5.548873722801366
O60341	nci60_SKMEL5	20.0	nci60_SKMEL5	15.82385854	4.09928615916199
O60341	nci60_SKOV3	42.0	nci60_SKOV3	7.946596981	5.4187452233812765
O60341	nci60_SNB75	21.0	nci60_SNB75	10.78667382	4.2626038595794995
O60341	nci60_SW620	44.0	nci60_SW620	4.01699541	5.288497865047274
O60341	nci60_T47D	16.0	nci60_T47D	10.41970887	3.5863462670456725
O60341	nci60_U251MG	16.0	nci60_U251MG	8.372641949	3.539496899022895
O60341	nci60_UACC257	36.0	nci60_UACC257	13.9582676	4.873187047207498
O60341	nci60_UACC62	29.0	nci60_UACC62	12.09914202	4.751263500969605
O60341	nci60_UO31	22.0	nci60_UO31	12.5042303	4.1991242113355565
O60341	nci60_X786O	33.0	nci60_X786O	4.246181296	4.749498341510977
Q96JG6	nci60_A498	3.0	nci60_A498	0.794570521	2.6058408321904967
Q96JG6	nci60_A549	3.0	nci60_A549	0.256162045	2.5643655802283774
Q96JG6	nci60_ACHN	6.0	nci60_ACHN	2.210707431	2.8141772164374657
Q96JG6	nci60_BT549	3.0	nci60_BT549	1.163987848	2.6193426962841113
Q96JG6	nci60_Caki1	3.0	nci60_Caki1	0.524808924	2.622873322588606
Q96JG6	nci60_DU145	4.0	nci60_DU145	0.381233331	2.663165573560988
Q96JG6	nci60_EKVX	5.0	nci60_EKVX	3.393199586	2.806696802938265
Q96JG6	nci60_HCT116	3.0	nci60_HCT116	1.806065036	2.639353666736898
Q96JG6	nci60_HCT15	4.0	nci60_HCT15	1.733831352	2.7337873925423186
Q96JG6	nci60_HL60	2.0	nci60_HL60	0.399514695	2.147230937622665
Q96JG6	nci60_HOP62	2.0	nci60_HOP62	0.307439043	2.1626079562112426
Q96JG6	nci60_HOP92	4.0	nci60_HOP92	2.265551524	2.607275526061641
Q96JG6	nci60_HS578T	2.0	nci60_HS578T	0.558473388	2.148577743732374
Q96JG6	nci60_HT29	4.0	nci60_HT29	1.326959523	2.678641918335204
Q96JG6	nci60_IGROV1	2.0	nci60_IGROV1	0.464168301	2.1058670309807925
Q96JG6	nci60_K562	2.0	nci60_K562	0.350690076	2.1183479312151414
Q96JG6	nci60_KM12	4.0	nci60_KM12	1.021081084	2.658045113039463
Q96JG6	nci60_MCF7	2.0	nci60_MCF7	2.898042143	2.0633558812747603
Q96JG6	nci60_MDAMB231	3.0	nci60_MDAMB231	1.231316775	2.598172311850459
Q96JG6	nci60_MDAMB435	5.0	nci60_MDAMB435	1.514009093	2.7509511365551753
Q96JG6	nci60_Malme3M	7.0	nci60_Malme3M	1.163319017	2.890640025819646
Q96JG6	nci60_NCIH226	3.0	nci60_NCIH226	0.807947129	2.661535797216338
Q96JG6	nci60_NCIH23	3.0	nci60_NCIH23	1.354604513	2.673494131713963
Q96JG6	nci60_NCIH322T	3.0	nci60_NCIH322T	0.788996934	2.6156762878562985
Q96JG6	nci60_NCIH460	1.0	nci60_NCIH460	0.250588458	1.9542570110829578
Q96JG6	nci60_NCIH522	3.0	nci60_NCIH522	0.892442703	2.6689216478079616
Q96JG6	nci60_OVCAR3	2.0	nci60_OVCAR3	0.708291399	2.140255095087678
Q96JG6	nci60_OVCAR4	4.0	nci60_OVCAR4	1.497065389	2.6839998082838488
Q96JG6	nci60_OVCAR8	2.0	nci60_OVCAR8	0.289380622	2.125020659251186
Q96JG6	nci60_PC3	4.0	nci60_PC3	2.853007563	2.6997330901284293
Q96JG6	nci60_RPMI8226	4.0	nci60_RPMI8226	0.613986311	2.710830895685297
Q96JG6	nci60_SF268	2.0	nci60_SF268	0.250142571	2.1287750498971336
Q96JG6	nci60_SF295	4.0	nci60_SF295	2.023434918	2.7159530389110693
Q96JG6	nci60_SF539	1.0	nci60_SF539	0.133097251	1.9687612527847094
Q96JG6	nci60_SKMEL28	3.0	nci60_SKMEL28	1.186282194	2.665520053241611
Q96JG6	nci60_SKMEL5	4.0	nci60_SKMEL5	3.033368829	2.7273034397250338
Q96JG6	nci60_SKOV3	1.0	nci60_SKOV3	0.492036234	1.9723924024340325
Q96JG6	nci60_SNB75	3.0	nci60_SNB75	1.813422171	2.6727677031846784
Q96JG6	nci60_SW620	3.0	nci60_SW620	0.035893898	2.6672399100954913
Q96JG6	nci60_T47D	3.0	nci60_T47D	0.64408368	2.6601109376754204
Q96JG6	nci60_U251MG	4.0	nci60_U251MG	0.654784966	2.6981928491890113
Q96JG6	nci60_UACC257	4.0	nci60_UACC257	2.395973453	2.697562474632979
Q96JG6	nci60_UACC62	2.0	nci60_UACC62	0.587233095	2.1210412060305512
Q96JG6	nci60_UO31	4.0	nci60_UO31	3.198569939	2.704045027687677
Q96JG6	nci60_X786O	4.0	nci60_X786O	0.28603647	2.7141926259519
Q6FI81	nci60_A498	18.0	nci60_A498	3.948105879	8.46081496027874
Q6FI81	nci60_A549	29.0	nci60_A549	33.824983	10.814264544075654
Q6FI81	nci60_ACHN	33.0	nci60_ACHN	19.94496855	10.641235789211708
Q6FI81	nci60_BT549	20.0	nci60_BT549	9.671287651	8.726913408849423
Q6FI81	nci60_Caki1	27.0	nci60_Caki1	11.84164231	10.640414274078818
Q6FI81	nci60_DU145	34.0	nci60_DU145	13.09547638	10.888909189599607
Q6FI81	nci60_EKVX	26.0	nci60_EKVX	15.83322217	10.57734243446049
Q6FI81	nci60_HCT116	30.0	nci60_HCT116	4.117988801	11.060985800100344
Q6FI81	nci60_HCT15	23.0	nci60_HCT15	11.05442893	9.793564954677136
Q6FI81	nci60_HL60	21.0	nci60_HL60	7.540171039	9.04723974982406
Q6FI81	nci60_HOP62	19.0	nci60_HOP62	0.782754517	8.079701667394142
Q6FI81	nci60_HOP92	16.0	nci60_HOP92	9.461720791	6.998253105119424
Q6FI81	nci60_HS578T	6.0	nci60_HS578T	5.834653507	3.686474506416392
Q6FI81	nci60_HT29	16.0	nci60_HT29	10.3387804	7.056964593694445
Q6FI81	nci60_IGROV1	32.0	nci60_IGROV1	38.9702953	10.303708346251497
Q6FI81	nci60_K562	18.0	nci60_K562	49.8943023	7.883621911571442
Q6FI81	nci60_KM12	22.0	nci60_KM12	21.93362429	9.184629762840952
Q6FI81	nci60_LOXIMVI	14.0	nci60_LOXIMVI	15.18088958	6.533962264899829
Q6FI81	nci60_MCF7	12.0	nci60_MCF7	15.05002177	5.7279115898251876
Q6FI81	nci60_MDAMB231	15.0	nci60_MDAMB231	15.74538244	6.795251131660116
Q6FI81	nci60_MDAMB435	37.0	nci60_MDAMB435	9.790339463	11.187083987165828
Q6FI81	nci60_Malme3M	9.0	nci60_Malme3M	5.776911149	4.842157950781105
Q6FI81	nci60_NCIH226	22.0	nci60_NCIH226	5.533233938	9.409715804996566
