uid	rna_expt	rna_value	prot_expt	prot_value	predicted_prot_value
O00170	tissue29_urinary.bladder	22.0	tissue29_urinary.bladder	25.53323625	3.0383848287162243
Q6NWY9	tissue29_adipose.tissue	0.7	tissue29_adipose.tissue	0.003148537	0.37386708940598257
Q6NWY9	tissue29_adrenal.gland	1.0	tissue29_adrenal.gland	0.310918605	0.2745882814518934
Q6NWY9	tissue29_appendix	0.6	tissue29_appendix	0.419478531	0.3225195026398584
Q6NWY9	tissue29_colon	0.5	tissue29_colon	0.221984124	0.30887815943832964
Q6NWY9	tissue29_duodenum	0.6	tissue29_duodenum	0.200039929	0.28632762730858374
Q6NWY9	tissue29_endometrium	2.0	tissue29_endometrium	1.424645657	0.34322429385695075
Q6NWY9	tissue29_esophagus	0.8	tissue29_esophagus	0.041136391	0.29732314258864045
Q6NWY9	tissue29_fallopian.tube	2.0	tissue29_fallopian.tube	1.241714888	0.35222240908111146
Q6NWY9	tissue29_gall.bladder	1.0	tissue29_gall.bladder	0.002223579	0.2581936498231263
Q6NWY9	tissue29_heart	1.0	tissue29_heart	1.011734725	0.2784539336451892
Q6NWY9	tissue29_kidney	1.0	tissue29_kidney	0.388266051	0.27165824742308664
Q6NWY9	tissue29_lung	0.9	tissue29_lung	0.174320457	0.311926637955551
Q6NWY9	tissue29_lymph.node	0.6	tissue29_lymph.node	0.58302419	0.3123746263910625
Q6NWY9	tissue29_ovary	3.0	tissue29_ovary	0.604371611	0.33811755787664066
Q6NWY9	tissue29_placenta	1.0	tissue29_placenta	0.344611209	0.23183880281390734
Q6NWY9	tissue29_prostate	2.0	tissue29_prostate	0.263262852	0.31859794447581424
Q6NWY9	tissue29_rectum	0.6	tissue29_rectum	0.365824775	0.3036604751906766
Q6NWY9	tissue29_salivary.gland	1.0	tissue29_salivary.gland	0.212742435	0.27278023063177925
Q6NWY9	tissue29_small.intestine	0.5	tissue29_small.intestine	0.380322139	0.30152148065322026
Q6NWY9	tissue29_smooth.muscle	1.0	tissue29_smooth.muscle	0.426621922	0.2749219914385379
Q6NWY9	tissue29_spleen	1.0	tissue29_spleen	0.036078307	0.26902295212863114
Q6NWY9	tissue29_stomach	0.7	tissue29_stomach	0.134874417	0.3144346178784394
Q6NWY9	tissue29_testis	5.0	tissue29_testis	0.753599342	0.25635418848969094
Q6NWY9	tissue29_thyroid	3.0	tissue29_thyroid	0.596448276	0.2804286263431697
Q6NWY9	tissue29_tonsil	0.5	tissue29_tonsil	0.100351275	0.30568593110804776
Q6NWY9	tissue29_urinary.bladder	0.9	tissue29_urinary.bladder	0.054880666	0.2848527081781067
Q6IMN6	tissue29_adipose.tissue	3.0	tissue29_adipose.tissue	0.007145301	0.04397732740399829
Q6IMN6	tissue29_adrenal.gland	6.0	tissue29_adrenal.gland	0.374728256	0.056870850330510425
Q6IMN6	tissue29_appendix	6.0	tissue29_appendix	0.440264433	0.09645789056793208
Q6IMN6	tissue29_bone.marrow	7.0	tissue29_bone.marrow	0.472574797	0.11682021506200568
Q6IMN6	tissue29_colon	3.0	tissue29_colon	0.163113564	0.02170062686345986
Q6IMN6	tissue29_duodenum	4.0	tissue29_duodenum	0.066881395	0.012243829741286127
Q6IMN6	tissue29_endometrium	11.0	tissue29_endometrium	0.020443785	0.09482303897479372
Q6IMN6	tissue29_gall.bladder	5.0	tissue29_gall.bladder	0.058486911	0.03395374926291739
Q6IMN6	tissue29_heart	5.0	tissue29_heart	0.100703899	0.07812027125820298
Q6IMN6	tissue29_kidney	4.0	tissue29_kidney	0.794106907	-0.03558692094270832
Q6IMN6	tissue29_liver	1.0	tissue29_liver	0.01142531	0.0501303646964244
Q6IMN6	tissue29_lung	7.0	tissue29_lung	0.032630176	0.044216177718547245
Q6IMN6	tissue29_lymph.node	7.0	tissue29_lymph.node	0.0182708	0.052683738740182395
Q6IMN6	tissue29_ovary	10.0	tissue29_ovary	0.097887372	0.11798055941216923
Q6IMN6	tissue29_pancreas	1.0	tissue29_pancreas	0.052012533	0.1288769968788186
Q6IMN6	tissue29_placenta	3.0	tissue29_placenta	0.329465904	-0.00737142137118596
Q6IMN6	tissue29_prostate	7.0	tissue29_prostate	0.356606228	0.03604346014376625
Q6IMN6	tissue29_small.intestine	4.0	tissue29_small.intestine	0.995507025	-0.0930059729948457
Q6IMN6	tissue29_spleen	7.0	tissue29_spleen	0.643508936	-0.03341343865518309
Q6IMN6	tissue29_stomach	4.0	tissue29_stomach	0.14146856	-0.0411189560870876
Q6IMN6	tissue29_testis	13.0	tissue29_testis	1.691305173	0.14387168815952345
Q6IMN6	tissue29_tonsil	4.0	tissue29_tonsil	0.000569314	-0.035411465345402626
P49281	tissue29_adrenal.gland	7.0	tissue29_adrenal.gland	0.150803861	0.21413971014660738
P49281	tissue29_bone.marrow	5.0	tissue29_bone.marrow	0.540364165	0.34991506488029445
P49281	tissue29_colon	7.0	tissue29_colon	0.052943985	0.16295412299690737
P49281	tissue29_duodenum	21.0	tissue29_duodenum	5.073638129	0.3359911456819846
P49281	tissue29_endometrium	8.0	tissue29_endometrium	0.067479414	0.19027039935468015
P49281	tissue29_fallopian.tube	11.0	tissue29_fallopian.tube	0.69270488	0.21236465505034507
P49281	tissue29_gall.bladder	8.0	tissue29_gall.bladder	0.137471062	0.19604386578315358
P49281	tissue29_heart	3.0	tissue29_heart	0.359052347	0.13757818191816718
P49281	tissue29_liver	5.0	tissue29_liver	0.029452018	0.13330326740954135
